Year,Month,tmax(degC),tmin(degC),ppt(mm)
1958,1,-34.7,-40.3,155
1958,2,-31.8,-37,174
1958,3,-30.6,-36.2,150
1958,4,-25.8,-30,65
1958,5,-19.4,-22.4,46
1958,6,-11.2,-14.5,64
1958,7,-6.4,-10.7,57
1958,8,-14.7,-18.6,21
1958,9,-18,-20.5,81
1958,10,-28.1,-28.6,48
1958,11,-34.2,-36.2,57
1958,12,-32.3,-36.8,82
1959,1,-31.5,-37.1,84
1959,2,-35.8,-41,117
1959,3,-32,-37.5,96
1959,4,-27.7,-31.9,26
1959,5,-18.2,-21.2,32
1959,6,-11.6,-14.9,27
1959,7,-6.4,-10.7,56
1959,8,-12.4,-16.3,51
1959,9,-19.3,-21.8,98
1959,10,-25.8,-26.3,90
1959,11,-34.2,-36.2,55
1959,12,-33,-37.5,87
1960,1,-30.2,-35.7,145
1960,2,-32.5,-37.7,144
1960,3,-29.2,-34.8,136
1960,4,-30.3,-34.6,24
1960,5,-18.2,-21.2,20
1960,6,-11.5,-14.8,26
1960,7,-8,-12.3,10
1960,8,-8.9,-12.9,72
1960,9,-18.7,-21.2,37
1960,10,-25.3,-25.8,64
1960,11,-29.9,-31.8,35
1960,12,-34.4,-38.9,74
1961,1,-32.5,-39.5,82
1961,2,-36.6,-41.8,79
1961,3,-37,-43,80
1961,4,-29.8,-34.9,14
1961,5,-19.2,-22.1,51
1961,6,-10.6,-14.8,22
1961,7,-7.6,-12.9,33
1961,8,-11,-15.5,50
1961,9,-19.1,-21.8,76
1961,10,-27.8,-28.3,78
1961,11,-33.2,-35.4,42
1961,12,-33.4,-38.2,102
1962,1,-33.1,-39.3,64
1962,2,-32.7,-40.1,135
1962,3,-31.8,-37.4,56
1962,4,-27.8,-31.7,34
1962,5,-18.8,-22.1,31
1962,6,-11.8,-15.7,37
1962,7,-7.3,-13.2,68
1962,8,-11.8,-15.6,58
1962,9,-19.4,-22.5,78
1962,10,-30.2,-30.3,32
1962,11,-32.7,-36.7,103
1962,12,-32.7,-38.7,106
1963,1,-31.7,-38.8,151
1963,2,-32.4,-38.1,89
1963,3,-31.6,-38.3,70
1963,4,-27.1,-32.4,35
1963,5,-20.5,-23.5,25
1963,6,-13,-16,79
1963,7,-9.1,-13.7,71
1963,8,-10.9,-15.5,41
1963,9,-19.7,-22.9,42
1963,10,-29.6,-29.6,44
1963,11,-35.7,-37.8,58
